Дата эксперимента: 29.10.2023 19:00:49
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
4.767;1.0156;-0.0225;0.1914;-4.1527;0.8702;-0.7405;30.6947;
4.788;1.0237;-0.0234;0.2061;-4.1985;0.9008;-0.9389;30.6947;
4.808;1.0146;-0.0178;0.1964;-4.3817;1.0611;-0.8473;30.6947;
4.829;1.0232;-0.0200;0.2053;-4.2137;1.0229;-0.9160;30.6947;
4.850;1.0110;-0.0212;0.2039;-4.0687;0.9695;-0.9389;30.6947;
4.871;1.0181;-0.0264;0.2025;-4.0611;1.2214;-0.8626;30.5065;
4.892;1.0193;-0.0269;0.1931;-4.1832;0.7405;-0.8550;30.6947;
4.913;1.0164;-0.0215;0.1964;-4.2366;0.9924;-0.8702;30.6947;
4.935;1.0159;-0.0171;0.1898;-4.2366;0.8931;-0.7176;30.6947;
4.955;1.0166;-0.0234;0.1920;-4.0992;0.8626;-0.8779;30.7888;
4.976;1.0176;-0.0186;0.2111;-4.2977;1.0992;-0.7328;30.6947;
4.997;1.0220;-0.0225;0.2014;-4.1145;0.8702;-0.8092;30.6947;
5.018;1.0205;-0.0256;0.1959;-4.1832;0.9924;-0.7863;30.7888;
5.039;1.0193;-0.0232;0.1998;-4.3511;1.0000;-0.8092;30.6947;
5.060;1.0237;-0.0234;0.2045;-4.1908;0.9008;-0.8397;30.7888;
5.082;1.0125;-0.0269;0.1945;-4.1832;0.9466;-0.8092;30.7888;
5.102;1.0220;-0.0239;0.2031;-4.0305;0.9695;-0.9542;30.7888;
5.123;1.0166;-0.0251;0.1939;-4.2672;0.8855;-0.8473;30.6947;
5.145;1.0127;-0.0220;0.2020;-4.1145;0.9084;-0.6183;30.6006;
5.166;1.0208;-0.0220;0.2072;-4.0840;1.0687;-0.9695;30.7888;
5.186;1.0195;-0.0225;0.1909;-4.1908;0.8779;-0.7099;30.6947;
5.208;1.0195;-0.0164;0.2064;-4.0382;0.8168;-0.9542;30.6947;
5.229;1.0142;-0.0200;0.2056;-4.1832;1.0305;-0.9008;30.6947;
5.249;1.0173;-0.0205;0.1967;-4.1298;0.8931;-1.0611;30.7888;
5.271;1.0215;-0.0149;0.2014;-4.2824;0.8321;-0.7863;30.7888;
5.291;1.0142;-0.0227;0.1950;-4.4122;1.1603;-0.7863;30.6947;
5.312;1.0215;-0.0186;0.1989;-4.1832;0.8015;-0.8168;30.6947;
5.333;1.0173;-0.0193;0.1948;-4.1908;1.0687;-0.8321;30.6947;
5.354;1.0146;-0.0200;0.1917;-4.2443;0.9771;-0.8855;30.6947;
5.375;1.0203;-0.0188;0.1992;-4.1298;1.0305;-0.8702;30.6947;
5.396;1.0156;-0.0247;0.1945;-4.0458;1.0229;-0.8779;30.6947;
5.417;1.0208;-0.0208;0.2061;-4.1527;0.8168;-0.8321;30.6947;
5.438;1.0190;-0.0181;0.1975;-3.9084;1.1221;-0.8168;30.6947;
5.460;1.0249;-0.0210;0.2034;-4.1145;1.0305;-0.8931;30.6947;
