Дата эксперимента: 31.10.2023 21:20:26
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
4.252;1.0137;-0.0012;0.2808;-4.1832;0.8931;-0.9771;30.0359;
4.271;1.0103;-0.0068;0.2758;-4.1145;1.1985;-0.8626;29.9418;
4.293;1.0120;-0.0034;0.2788;-4.2137;0.9542;-0.8626;29.9418;
4.314;1.0088;-0.0059;0.2716;-3.8550;0.9924;-0.8397;29.9418;
4.336;1.0081;-0.0066;0.2838;-4.0992;0.9008;-0.8702;29.9418;
4.357;1.0088;-0.0039;0.2780;-4.1756;1.0992;-0.9160;29.9418;
4.379;1.0039;0.0034;0.2713;-4.0229;1.0382;-0.8015;30.0359;
4.399;1.0044;-0.0024;0.2877;-4.0076;0.9771;-0.9084;30.0359;
4.420;1.0144;-0.0068;0.2813;-4.0382;0.9771;-0.9466;29.9418;
4.441;1.0122;0.0007;0.2799;-4.2519;1.0076;-0.8626;30.0359;
4.462;1.0103;-0.0076;0.2874;-4.1527;0.8015;-0.7405;30.0359;
4.483;1.0085;-0.0024;0.2772;-4.2290;1.0229;-0.9008;30.0359;
4.504;1.0129;-0.0042;0.2855;-4.0534;1.1832;-0.8550;29.9418;
4.525;1.0156;-0.0059;0.2688;-4.2137;1.0229;-0.7252;29.9418;
4.546;1.0066;-0.0012;0.2747;-4.3130;1.0000;-0.7176;30.1300;
4.567;1.0078;-0.0076;0.2749;-4.2519;1.1679;-0.9313;29.9418;
4.588;1.0120;-0.0024;0.2813;-4.3282;1.0687;-0.8931;29.9418;
4.609;1.0071;-0.0078;0.2802;-4.2595;0.9313;-0.9237;29.9418;
4.630;1.0085;-0.0071;0.2749;-4.0916;1.0153;-0.7557;29.9418;
4.651;1.0105;-0.0054;0.2769;-4.1069;1.0840;-0.9618;30.0359;
4.672;1.0137;-0.0051;0.2785;-4.2595;0.9542;-0.8244;30.0359;
4.693;1.0110;-0.0039;0.2855;-4.1527;1.1221;-0.8015;30.0359;
4.714;1.0181;-0.0076;0.2741;-4.2748;1.0763;-0.9008;30.0359;
4.735;1.0059;-0.0085;0.2747;-4.2824;0.9618;-0.8931;29.9418;
4.756;1.0046;-0.0044;0.2774;-4.1679;0.9542;-0.8092;29.9418;
4.777;1.0134;-0.0095;0.2838;-4.2290;1.0458;-1.0229;30.0359;
4.798;1.0161;-0.0027;0.2641;-4.1603;0.9237;-0.8855;30.0359;
4.819;1.0049;-0.0056;0.2705;-4.2443;0.8931;-0.8168;30.0359;
4.840;1.0127;-0.0034;0.2783;-4.3588;1.0611;-0.8702;29.9418;
4.861;1.0112;-0.0056;0.2777;-4.1679;1.0305;-0.8550;30.0359;
4.882;1.0100;-0.0049;0.2777;-4.1527;0.9695;-0.9618;30.0359;
4.903;1.0115;-0.0034;0.2755;-4.1450;1.0229;-0.9466;29.9418;
4.924;1.0063;0.0042;0.2741;-4.1679;0.9924;-0.7023;30.0359;
4.945;1.0071;-0.0059;0.2713;-4.1527;0.9695;-0.8244;29.9418;
4.966;1.0073;-0.0056;0.2763;-3.9313;0.9160;-0.9084;29.9418;
4.987;1.0063;-0.0032;0.2816;-4.2748;0.9389;-0.9542;30.0359;
5.009;1.0105;-0.0071;0.2724;-4.1145;1.0382;-0.7710;29.9418;
5.030;1.0071;-0.0071;0.2766;-4.3435;1.0305;-0.8702;30.0359;
5.051;1.0100;-0.0037;0.2763;-4.3893;1.1450;-1.0534;30.0359;
5.072;1.0071;-0.0029;0.2699;-4.3817;0.8550;-0.7176;29.9418;
5.093;1.0068;-0.0002;0.2747;-4.1756;1.0229;-0.9924;30.1300;
5.114;1.0129;-0.0112;0.2747;-4.1985;1.0305;-0.8779;30.0359;
5.135;1.0090;-0.0042;0.2677;-4.0992;0.8779;-0.8931;30.0359;
5.156;1.0071;-0.0071;0.2727;-4.1908;0.8473;-0.8321;30.0359;
5.177;1.0149;-0.0002;0.2838;-4.2443;1.0458;-1.0000;30.0359;
5.198;1.0059;-0.0085;0.2777;-4.2214;0.9924;-1.0076;29.9418;
5.219;1.0090;-0.0020;0.2783;-3.9542;0.9160;-0.9008;30.0359;
5.240;1.0037;-0.0020;0.2738;-4.1450;1.0992;-0.7786;30.0359;
5.261;1.0178;-0.0088;0.2763;-4.1985;0.9695;-0.7939;30.0359;
5.283;1.0154;-0.0088;0.2883;-4.0916;0.9160;-0.8397;29.9418;
5.304;1.0085;-0.0034;0.2741;-4.0382;1.0611;-0.9389;30.0359;
5.325;1.0088;-0.0007;0.2741;-4.0534;0.9695;-0.8626;29.9418;
5.346;1.0112;-0.0046;0.2774;-4.2672;0.9847;-0.8855;29.9418;
5.367;1.0120;-0.0088;0.2730;-4.2061;0.9466;-0.7023;29.9418;
5.388;1.0100;-0.0049;0.2783;-4.1832;0.9771;-0.9847;30.0359;
5.409;1.0125;-0.0125;0.2780;-4.1679;1.0992;-0.9008;30.0359;
5.430;1.0151;-0.0054;0.2833;-4.3817;1.0534;-1.0534;30.0359;
5.451;1.0095;-0.0024;0.2794;-4.3588;1.1374;-0.7099;30.0359;
5.472;1.0100;-0.0059;0.2733;-4.2519;1.1756;-0.9084;30.0359;
5.493;1.0103;-0.0071;0.2741;-4.1908;1.0840;-0.7863;30.0359;
5.514;1.0042;-0.0024;0.2794;-4.1756;1.0840;-0.7634;30.0359;
5.535;1.0010;0.0002;0.2730;-4.1603;1.1756;-0.9695;30.0359;
5.556;1.0120;-0.0046;0.2711;-4.1832;0.9924;-0.8702;29.9418;
5.577;1.0159;-0.0027;0.2708;-4.1221;0.9542;-0.9389;29.9418;
5.598;1.0100;-0.0061;0.2705;-4.3893;1.0076;-0.8015;30.0359;
5.620;1.0081;-0.0076;0.2827;-4.2137;1.0687;-0.6565;29.9418;
5.640;1.0107;-0.0098;0.2722;-4.2443;1.0534;-1.1527;30.0359;
5.661;1.0115;0.0044;0.2686;-4.1908;0.8244;-0.9542;29.9418;
5.682;1.0049;-0.0017;0.2724;-4.5191;0.8244;-0.8092;29.9418;
